Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,25995031850.1545
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,78757391333.0219
GDP (current US$),NY.GDP.MKTP.CD,Tanzania,TZA,53320625958.5628
GDP (current US$),NY.GDP.MKTP.CD,Rwanda,RWA,9140429057.8874
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,81760441158.7556
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,19485393853000
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4859950558538.97
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3656749414477.08
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/20/2019,,,,
